postal_code_searched,name,address,lat,lng
66634,7-Eleven,"Av. Acapulco 551, Hacienda Las Margaritas 6to. Sector, 66647 Cdad. Apodaca, N.L., Mexico",25.7145425,-100.1559436
66634,7-Eleven,"Av. Girasol 500, Las Margaritas 4to. Sector, 66647 Cdad. Apodaca, N.L., Mexico",25.7118766,-100.1569698
66634,7-Eleven,"Valle De Las Palmas, Av. Las Palmas 501, Cabecera Municipal (Apodaca), Apodaca Centro, 66600 Cdad. Apodaca, N.L., Mexico",25.78493,-100.19101
66634,7-Eleven,"sector, Hacienda Margaritas XII, Orquídeas Manzana 410 L019, 64500 Cdad. Apodaca, N.L., Mexico",25.708444,-100.150492
66634,7-Eleven,"Morelos 600, Col, Cerradas Magenta, 66632 Cdad. Apodaca, N.L., Mexico",25.75484,-100.231528
66634,7-Eleven,"Melchor Ocampo 1101, Torremolinos La Fe, 66117 Guadalupe, N.L., Mexico",25.7294846,-100.1996036
66634,7-Eleven,"Av Sta Cecilia 800, Santa Cecilia, 66636 Cdad. Apodaca, N.L., Mexico",25.775536,-100.239317
66634,7-Eleven,"Av. E, Los Alcatraces 600, Alcatraces Residencial, Sin Nombre de Col 33, 66470 San Nicolás de los Garza, N.L., Mexico",25.723885,-100.226888
66634,7-Eleven,"Terminales De Carga, Av. Juan Montemayor 150, Central de Carga, 66494 San Nicolás de los Garza, N.L., Mexico",25.7117283,-100.2361531
66634,7-Eleven,"Av Calz Unión 1400, Parque la Talaverna, 66495 San Nicolás de los Garza, N.L., Mexico",25.7171294,-100.2354554
66634,7-Eleven,"C. Arroyo la Talaverna S/N, Bosques de Linda Vista, 66495 Guadalupe, N.L., Mexico",25.7157763,-100.2120274
66634,7-Eleven,"P.º de San Carlos 101, Misión de Guadalupe, 67117 Guadalupe, N.L., Mexico",25.729683,-100.20626
66634,7-Eleven,"Rincon De Los Angeles, Av. Las Torres 200, Residencial 1er Sector, 66475 San Nicolás de los Garza, N.L., Mexico",25.7341351,-100.2271648
66634,7-Eleven 1225 Jacarandas,"Jacarandas, 66634 Cdad. Apodaca, N.L., Mexico",25.7460226,-100.18703
66634,7-Eleven,"Parque Industrial Huinala. Carr. San Miguel Huinala, Av. Luis Donaldo Colosio esq, 64346 Cdad. Apodaca, N.L., Mexico",25.758951,-100.172472
66634,7-Eleven Agua Fría,"Av. Miguel Alemán 1001, 66627 Cdad. Apodaca, N.L., Mexico",25.7855482,-100.1593156
66634,7-Eleven,"Av. de la Zanja 612, Villa de San Miguel, 67113 Guadalupe, N.L., Mexico",25.7050694,-100.2082211
66634,7-Eleven,"Av, Ojo de Agua 501, Fraccionamiento Privadas Borneo, 64346 Cdad. Apodaca, N.L., Mexico",25.7703959,-100.2144048
66634,7-Eleven,"Av. Diego Díaz de Berlanga 1901, Torres de Santo Domingo, 66449 San Nicolás de los Garza, N.L., Mexico",25.7550049,-100.2473037
66634,7-Eleven,"QQGR+5R, Moderno Apodaca II, 66604 Cdad. Apodaca, N.L., Mexico",25.7754375,-100.2079375
67112,7-Eleven,"Av. Las Torres 5526, Guadalupe Chávez, 64780 Monterrey, N.L., Mexico",25.6716772,-100.2225415
67112,7-Eleven,"P.º Amberes 800, 67130 Guadalupe, N.L., Mexico",25.699203,-100.155154
67112,7-Eleven,"Floresta. Av. Torres, Del Oriente 1551, La Floresta, 64460 Guadalupe, N.L., Mexico",25.696503,-100.212135
67112,7-Eleven,"Antiguo Camino A. Huinala Km 14 S/N, El Milagro, 66458 Cdad. Apodaca, N.L., Mexico",25.74685,-100.192131
67180,7-Eleven,"Av. Acueducto 1313, Valle Real, 67280 Cdad. Benito Juárez, N.L., Mexico",25.6465353,-100.1791629
67180,7-Eleven,"Santa Isabel, Av. Acueducto 3921, Santa Monica Sector 8, 67280 Cdad. Benito Juárez, N.L., Mexico",25.62608,-100.173455
67180,7-Eleven,"Residencial, Ex Hda Rosario. Av. Eloy Cavazos S/N, 65850 Cdad. Benito Juárez, N.L., Mexico",25.643954,-100.168972
67180,7-Eleven,"Cam. a Jardines de La Silla 301-A, Las Palmas, 64840 Guadalupe, N.L., Mexico",25.648025,-100.1886
67180,7-Eleven,"Av. Del Bosque 101, Col Paseo de Guadalupe, 67199 Guadalupe, N.L., Mexico",25.6582864,-100.1644808
67180,7-Eleven,"Av Eloy Cavazos 103, Sierra Vista, 67288 Cdad. Benito Juárez, N.L., Mexico",25.6425404,-100.1638184
67180,7-Eleven,"Av. Eloy Cavazos Y Sta. De Lima, Local-7027, Carmen Serdán, 67280 Guadalupe, N.L., Mexico",25.651909,-100.19752
67180,7-Eleven,"Av Eloy Cavazos 100, Ex Hacienda El Rosario, 67257 Cdad. Benito Juárez, N.L., Mexico",25.6442537,-100.1702347
67180,Seven Eleven,"Autop. Monterrey- Reynosa 11, 67116 Monterrey, N.L., Mexico",25.6950586,-100.1736374
67180,7-Eleven Jardines Y Palmas,"Las Palmas, 67192 Guadalupe, Nuevo Leon, Mexico",25.6465486,-100.187855
67180,7-Eleven,"Av Eloy Cavazos 5277, Sin Nombre de Col 54, 67190 Guadalupe, N.L., Mexico",25.6547982,-100.2090052
67180,7-Eleven,"Av. Pablo Livas 1996, Gustavo Díaz Ordaz, 67180 Guadalupe, N.L., Mexico",25.66302,-100.203525
67180,7-Eleven,"Juan Zuazua 403, Del Maestro, 67140 Guadalupe, N.L., Mexico",25.6724413,-100.2620386
67180,7-Eleven,"Av. Gral. Lázaro Cárdenas 807, Ignacio Zaragoza, 67160 Guadalupe, N.L., Mexico",25.6835631,-100.2307054
67180,7 Eleven Azteca,"Av Azteca. Entre calle Apache y, Cora S/N, Residencial Azteca, 67150 Monterrey, N.L., Mexico",25.6840862,-100.2433577
67180,7-Eleven,"Av Maestro Israel Cavazos Garza 405, Nueva Aurora, 67194 Guadalupe, N.L., Mexico",25.6405691,-100.1954315
67180,7-Eleven,"Av Coahuila, Monte Verde, La Reforma, 67257 Cdad. Benito Juárez, N.L., Mexico",25.6449859,-100.1697749
67180,7-Eleven,"Av. Aldama S/N, San Rafael, 66116 Guadalupe, N.L., Mexico",25.695405,-100.2222636
67180,7-Eleven Rio Rosas,"Esq. Las Americas, Tierra Blanca 104, América Obrera, 67120 Guadalupe, N.L., Mexico",25.7049695,-100.2464477
67180,7-Eleven,"La Roca. Av. Juarez Sin Numero, 64650 Guadalupe, N.L., Mexico",25.67455,-100.212336
67180,7-Eleven,"Cruz Con Serafín Peña 4320, Benito Juárez, Prof. Serafin Peña, Guadalupe, N.L., Mexico",25.6740308,-100.212067
67180,7-Eleven,"C. Cam. A las Escobas, 67134 Guadalupe, N.L., Mexico",25.679599,-100.178973
67180,7-Eleven,"Av Eloy Cavazos S/N, Sierra Morena, 64700 Guadalupe, N.L., Mexico",25.646627,-100.179125
66644,7-Eleven,"Bello Amanecer Residencial. Prol. Ruiz Cortinez, Carr. A Dulces Nombres, 66368 Guadalupe, N.L., Mexico",25.700342,-100.13416
66644,7-Eleven,"Fraccionamiento Anzures, Anzures S/N, 67130 Cdad. Benito Juárez, N.L., Mexico",25.692673,-100.115931
66644,7-Eleven,"Parque Industrial FINSA, Ave Ihlsa 1411, 64460 Guadalupe, N.L., Mexico",25.694394,-100.1344
66644,7-Eleven,"Andres Quintana Roo 1012, 67130 Guadalupe, N.L., Mexico",25.698949,-100.15164
66644,7-Eleven,"C. Cam. A Rancho San Arturo, Misión San Pablo, 66672 Cdad. Apodaca, N.L., Mexico",25.7382061,-100.1395742
66644,7-Eleven Drive,"67258 Juárez, Nuevo Leon, Mexico",25.6983371,-100.111947
66644,7-Eleven,"Av. Ruiz Cortines, 67258 Cdad. Benito Juárez, N.L., Mexico",25.698011,-100.108002
66644,7-Eleven,"Av. Rhodesia del Nte. S/N, Real Hacienda de Huinala, 66478 Cdad. Apodaca, N.L., Mexico",25.730741,-100.16252
66644,7-Eleven,"Río Orinoco 708, 66646 Cdad. Apodaca, N.L., Mexico",25.7564178,-100.1533815
66644,7-Eleven,"DF, BENITO JUAREZ. Colonia: DEL VALLE Parroquia, #415, 66646 Cdad. Apodaca, N.L., Mexico",25.752215,-100.147265
66644,7 Eleven,"Av. Mexico 100, Sin Nombre de Col 39, 67113 Guadalupe, N.L., Mexico",25.7187556,-100.1919092
66644,7-Eleven,"Prol Ruiz Cortinez, Carr. A Dulces Nombres 1400, 67132 Guadalupe, N.L., Mexico",25.7083792,-100.1806646
66644,7-Eleven,"Av. Adolfo Ruiz Cortines Ote. 300, Sin Nombre de Col 51, 67110 Guadalupe, N.L., Mexico",25.709133,-100.194364
66644,7-Eleven,"Residencial Los Ebanos, Calle Chopo 601-2o Sector, 66600 Cdad. Apodaca, N.L., Mexico",25.777913,-100.117806
66644,7-Eleven,"Roberto Cantoral Av-Luca #500, 66675 Pesquería, N.L., Mexico",25.755471,-100.105647
66644,7 Eleven Misión San Pablo,"Av Mision San Pablo, 66643 Misión San Pablo, N.L., Mexico",25.741855,-100.14314
66644,7 Eleven,"Esq. Isidro Sepulveda, Av. Miguel Alemán 610, 66633 Cdad. Apodaca, N.L., Mexico",25.7440894,-100.2067501
66644,7-Eleven,"Fraccionamiento Los Tréboles. Agave 535, Tréboles, 66630 Cdad. Apodaca, N.L., Mexico",25.764164,-100.141735
66644,7-Eleven,"Camino Dulces Nombres - Pesquería # 1000, 66646 Cdad. Apodaca, N.L., Mexico",25.753472,-100.1532625
66644,7-Eleven,"Carretera a Dulces Nombres Manzana 576 Lote 8-B, 66634 Cdad. Apodaca, N.L., Mexico",25.7534057,-100.1548136
66644,7-Eleven,"Esq Calle, Av. Gaspar Castaño 1000, San Miguel, 66649 Cdad. Apodaca, N.L., Mexico",25.7174125,-100.1685265
66644,7-Eleven,"Esq Colosio, Carr. a San Miguel, Huinala, 66645 Cdad. Apodaca, N.L., Mexico",25.7156534,-100.1748026
66644,7-Eleven,"Av. del Teléfono S/N, Fraccionamiento San Miguel 3 Sector, 66649 Cdad. Apodaca, N.L., Mexico",25.7338418,-100.1741245
66644,7-Eleven,"Av. Modena Ote., 66643 Cdad. Apodaca, N.L., Mexico",25.734026,-100.147026
66644,7 Eleven Hacienda San Francisco (RI),"Av. Concordia 3646, Moderno Apodaca II, 66600 Cdad. Apodaca, N.L., Mexico",25.772891,-100.2016549
66644,7-Eleven,"Cam. a Dulces Nombres Manzana 576 Lote 8-B, 66646 Cdad. Apodaca, N.L., Mexico",25.753014,-100.148411
66647,7-Eleven,"Parque Industrial, C. Uranio 709, Kalos, 64660 Guadalupe, N.L., Mexico",25.669803,-100.15122
66647,7-Eleven,"Av. Vista del Nte. 232-A, Vistas del Rio, 67173 Cdad. Benito Juárez, N.L., Mexico",25.6648803,-100.0966123
66647,7-Eleven,"Gral. Plutarco Elías Calles 194, Sin Nombre de Col 2, 67160 Guadalupe, N.L., Mexico",25.686875,-100.191743
66647,7-Eleven,"NL 52 110, 67132 Bello Amanecer, N.L., Mexico",25.7002552,-100.1338659
66647,7-ELEVEN San Francisco y Umbría,"Av. San Francisco 290, 66670 Valle de Santa María, N.L., Mexico",25.7107726,-100.0985407
66647,7-Eleven,"Carretera Al Aeropuerto, S/N, Km 4, 66460 Cdad. Apodaca, N.L., Mexico",25.748407,-100.12979
